t,variance,rhythm
10.0,254241.6,0.099
10.5,531784.5,0.000
11.0,770300.8,0.266
11.5,897309.7,0.067
12.0,1187699.4,0.107
12.5,1261930.5,0.000
13.0,998060.2,0.061
13.5,1080653.5,0.011
14.0,1071068.6,0.100
14.5,1253927.9,0.117
15.0,1436345.0,0.131
15.5,1584629.5,0.086
16.0,1567635.8,0.024
16.5,1476779.9,0.000
17.0,1580087.8,0.082
17.5,2925486.4,0.165
18.0,3333793.6,0.117
18.5,4396358.4,0.224
19.0,4615751.0,0.234
19.5,7316660.0,0.171
20.0,5833138.0,0.203
20.5,5821421.0,0.266
21.0,4623335.6,0.204
21.5,4775072.0,0.164
22.0,1905458.0,0.090
22.5,2140026.4,0.052
23.0,2173388.2,0.252
23.5,1980274.4,0.245
24.0,1669157.9,0.257
24.5,2057889.0,0.089
25.0,1718023.0,0.059
25.5,1662687.4,0.079
26.0,2385613.0,0.186
26.5,2852867.6,0.070
27.0,2431363.8,0.070
27.5,3168678.8,0.130
28.0,3222156.4,0.104
28.5,2729710.8,0.092
29.0,2706015.0,0.112
29.5,2966581.8,0.138
30.0,2557985.0,0.090
30.5,1994745.6,0.130
31.0,2673298.4,0.090
31.5,2807956.4,0.097
