t,variance,rhythm
10.0,171006280.0,0.438
10.5,163217540.0,0.473
11.0,161680270.0,0.451
11.5,175764780.0,0.535
12.0,192704140.0,0.491
12.5,170148060.0,0.484
13.0,181017080.0,0.457
13.5,182154360.0,0.465
14.0,173829980.0,0.498
14.5,156102620.0,0.450
15.0,169664780.0,0.451
15.5,170037420.0,0.454
16.0,150654000.0,0.461
16.5,164855020.0,0.460
17.0,182079080.0,0.496
17.5,164022540.0,0.477
18.0,169850320.0,0.473
18.5,164536700.0,0.515
19.0,154984910.0,0.460
19.5,130120840.0,0.544
20.0,138170340.0,0.527
20.5,143711900.0,0.505
21.0,140305200.0,0.380
21.5,142042280.0,0.458
22.0,155714720.0,0.558
22.5,159903250.0,0.482
23.0,150727680.0,0.330
23.5,154915520.0,0.420
24.0,165025400.0,0.363
24.5,154962080.0,0.455
25.0,140605720.0,0.594
25.5,152558540.0,0.463
26.0,148184910.0,0.389
26.5,145275340.0,0.393
27.0,151393230.0,0.383
27.5,165485080.0,0.328
28.0,157597480.0,0.342
28.5,153577700.0,0.355
29.0,166313340.0,0.423
29.5,151945580.0,0.373
30.0,142201800.0,0.394
30.5,156391160.0,0.286
31.0,157824300.0,0.294
31.5,142946290.0,0.326
32.0,150296050.0,0.357
32.5,160338510.0,0.316
33.0,133335270.0,0.261
33.5,134204744.0,0.212
34.0,138522180.0,0.360
34.5,119028940.0,0.470
35.0,115664660.0,0.353
35.5,106238030.0,0.371
36.0,105044180.0,0.411
36.5,110821250.0,0.350
37.0,122041064.0,0.432
37.5,138480360.0,0.516
38.0,148792430.0,0.479
38.5,142891040.0,0.406
39.0,138695940.0,0.352
39.5,157273970.0,0.310
40.0,156397140.0,0.381
40.5,156914720.0,0.358
41.0,170177980.0,0.422
41.5,166310640.0,0.408
42.0,161571140.0,0.313
42.5,187235920.0,0.370
43.0,163384460.0,0.423
43.5,155681800.0,0.530
44.0,162389100.0,0.503
44.5,168266192.0,0.424
45.0,151953040.0,0.375
45.5,147437550.0,0.347
46.0,149341060.0,0.359
46.5,135154260.0,0.392
47.0,120954440.0,0.371
47.5,121198300.0,0.286
48.0,135821580.0,0.340
48.5,127440680.0,0.357
49.0,130364936.0,0.290
49.5,126450104.0,0.360
50.0,129608150.0,0.429
50.5,126757860.0,0.394
51.0,129016010.0,0.432
51.5,123388104.0,0.406
52.0,129403650.0,0.303
52.5,127744950.0,0.344
53.0,134004130.0,0.344
53.5,148746420.0,0.307
54.0,154215160.0,0.361
54.5,171836860.0,0.467
55.0,160886120.0,0.436
55.5,160984040.0,0.423
56.0,153209960.0,0.400
56.5,160354900.0,0.385
57.0,144645480.0,0.401
57.5,155388480.0,0.335
58.0,157726340.0,0.361
58.5,159033340.0,0.315
59.0,153943780.0,0.301
59.5,160570500.0,0.365
60.0,147189520.0,0.356
60.5,143839820.0,0.471
61.0,156939400.0,0.346
61.5,165477140.0,0.412
62.0,153314300.0,0.426
62.5,140911920.0,0.415
63.0,126004620.0,0.467
63.5,90101736.0,0.467
