t,variance,rhythm
10.0,7206.5,0.229
10.5,6751.9,0.324
11.0,6916.4,0.202
11.5,5472.3,0.140
12.0,4554.7,0.294
12.5,7064.0,0.134
13.0,12745.5,0.141
13.5,18801.8,0.233
14.0,30308.0,0.213
14.5,89896.6,0.267
15.0,299621.9,0.261
15.5,891218.3,0.308
16.0,1130372.6,0.313
16.5,2897856.2,0.060
17.0,2922832.2,0.050
17.5,2804060.0,0.072
18.0,2358032.2,0.077
18.5,2469201.0,0.123
19.0,747705.8,0.120
19.5,1305222.4,0.179
20.0,1376101.9,0.231
20.5,1393854.5,0.240
21.0,1478668.5,0.218
21.5,1419121.4,0.233
22.0,871581.0,0.205
22.5,649918.7,0.252
23.0,640104.2,0.157
23.5,362913.4,0.192
24.0,259041.6,0.147
24.5,244064.4,0.211
25.0,432885.7,0.245
25.5,911932.2,0.203
26.0,948636.0,0.175
26.5,1005948.8,0.138
27.0,1050772.0,0.113
27.5,944839.8,0.173
28.0,530794.6,0.296
28.5,1135006.5,0.280
29.0,1348460.6,0.339
29.5,1519926.6,0.367
30.0,1572516.4,0.338
30.5,1583900.6,0.227
31.0,1004377.8,0.145
31.5,923224.9,0.229
32.0,783269.3,0.261
32.5,2138801.8,0.137
33.0,2368466.4,0.192
33.5,2262836.4,0.218
34.0,2455051.0,0.161
34.5,2443384.4,0.116
35.0,844748.0,0.074
35.5,702924.0,0.092
36.0,656771.3,0.111
36.5,548752.3,0.224
37.0,967425.9,0.115
37.5,1075068.5,0.075
38.0,1568967.8,0.089
38.5,1687821.0,0.116
39.0,1765767.0,0.167
39.5,1546439.2,0.139
40.0,1625124.8,0.279
40.5,1321602.6,0.211
41.0,3854259.0,0.078
41.5,7859105.0,0.188
42.0,11595732.0,0.305
42.5,11932671.0,0.305
43.0,11794935.0,0.309
43.5,9124328.0,0.134
44.0,6694604.0,0.157
44.5,1118257.1,0.188
45.0,773637.4,0.134
45.5,669015.2,0.147
46.0,684534.8,0.191
46.5,574231.2,0.223
47.0,713696.6,0.112
47.5,797643.3,0.221
48.0,1067477.4,0.279
48.5,1747029.6,0.205
49.0,1818646.0,0.230
49.5,1639807.5,0.264
50.0,1496447.0,0.276
50.5,1183338.0,0.079
51.0,407313.3,0.243
51.5,333818.4,0.172
52.0,261875.0,0.152
52.5,198809.8,0.202
53.0,5623211.0,0.083
53.5,7798154.0,0.158
54.0,11868734.0,0.081
54.5,12075697.0,0.064
55.0,12041940.0,0.065
55.5,9413438.0,0.073
56.0,12801432.0,0.172
56.5,7300352.0,0.331
57.0,7621185.0,0.322
57.5,7863424.0,0.349
58.0,4954891.6,0.280
58.5,2003646.0,0.103
59.0,2187577.6,0.098
59.5,2099207.0,0.144
60.0,2064773.0,0.103
60.5,2914815.0,0.197
61.0,4346425.0,0.186
61.5,5424676.0,0.171
62.0,5774291.6,0.152
62.5,6342251.0,0.137
63.0,6900360.0,0.152
63.5,5597420.0,0.142
64.0,4500176.0,0.181
64.5,4529193.0,0.230
65.0,3703730.0,0.226
65.5,2984787.6,0.237
66.0,2194611.8,0.276
66.5,2314192.0,0.247
67.0,2170970.4,0.235
67.5,2727856.0,0.274
68.0,2612772.4,0.146
68.5,2681110.2,0.215
69.0,2527510.8,0.210
69.5,2887060.2,0.159
70.0,2372967.8,0.141
70.5,2087907.2,0.145
71.0,3033926.8,0.243
71.5,3213475.0,0.263
72.0,2632070.2,0.321
72.5,2538554.8,0.286
73.0,2311224.2,0.201
73.5,854676.9,0.148
74.0,512293.3,0.181
74.5,983967.9,0.131
75.0,947156.0,0.104
75.5,884039.0,0.116
76.0,825245.8,0.101
76.5,828199.6,0.108
77.0,343020.0,0.187
77.5,344512.5,0.209
78.0,463937.3,0.317
78.5,512266.1,0.221
79.0,585499.0,0.189
79.5,670292.3,0.163
80.0,808640.8,0.318
80.5,860966.0,0.344
81.0,1120166.0,0.147
81.5,1317284.0,0.150
82.0,1490301.2,0.204
82.5,1603073.0,0.191
83.0,1705668.0,0.209
83.5,1548449.4,0.165
84.0,1471349.6,0.146
84.5,1760380.8,0.205
85.0,1750033.0,0.273
85.5,1793892.4,0.305
86.0,1735081.6,0.261
86.5,1510245.2,0.230
87.0,1003438.0,0.276
87.5,945212.4,0.182
88.0,664199.4,0.122
88.5,843074.8,0.131
89.0,1358546.2,0.149
89.5,1976718.4,0.251
90.0,2144001.2,0.194
90.5,2254319.6,0.238
91.0,2172823.0,0.221
91.5,1772397.0,0.229
92.0,1287920.5,0.294
92.5,1060142.1,0.139
93.0,1327853.2,0.250
93.5,1338915.1,0.389
94.0,1453226.6,0.352
94.5,1771381.0,0.297
95.0,2290501.0,0.210
95.5,1851599.0,0.177
96.0,2269504.4,0.113
96.5,2314988.0,0.242
97.0,2154588.2,0.224
97.5,1624382.5,0.334
98.0,1477681.6,0.242
98.5,1680916.4,0.117
99.0,1028834.2,0.138
99.5,1276750.5,0.200
100.0,1596593.2,0.236
100.5,1581227.5,0.139
101.0,1332898.0,0.089
101.5,1178231.5,0.167
102.0,868030.0,0.238
102.5,491854.5,0.172
103.0,526602.8,0.072
103.5,454671.8,0.296
104.0,969190.9,0.259
104.5,978543.0,0.149
105.0,1243731.2,0.149
105.5,1729434.4,0.204
106.0,2462026.8,0.258
106.5,2287861.6,0.351
107.0,2215094.0,0.394
107.5,2515915.2,0.214
108.0,2496091.6,0.084
108.5,1945798.4,0.239
109.0,2206749.8,0.200
109.5,2273864.2,0.258
110.0,2105541.8,0.303
110.5,1731079.6,0.203
111.0,1779719.0,0.256
111.5,1867131.2,0.315
112.0,1963326.0,0.164
112.5,1797692.0,0.205
113.0,1896929.4,0.183
113.5,1616682.6,0.160
114.0,1376705.9,0.128
114.5,1240348.5,0.103
115.0,1422596.0,0.120
115.5,1295166.6,0.213
116.0,1240585.8,0.294
116.5,1014560.2,0.222
117.0,867736.8,0.143
117.5,693914.6,0.100
118.0,798746.5,0.127
118.5,793536.8,0.189
119.0,730062.7,0.209
119.5,703061.0,0.267
120.0,622351.8,0.125
120.5,534238.1,0.159
121.0,565284.3,0.278
121.5,567913.9,0.293
122.0,559709.9,0.184
122.5,526815.6,0.122
123.0,368405.0,0.222
123.5,222784.2,0.235
124.0,164093.7,0.206
124.5,128304.0,0.216
125.0,69236.5,0.164
125.5,55671.7,0.086
126.0,44062.6,0.214
126.5,44022.8,0.176
127.0,51363.5,0.198
127.5,48848.3,0.279
128.0,51013.0,0.212
128.5,48055.0,0.197
129.0,46764.5,0.141
129.5,36807.5,0.093
130.0,165124.0,0.082
130.5,2523284.0,0.253
131.0,2704722.2,0.118
131.5,2703277.6,0.119
132.0,2704924.2,0.120
132.5,2590447.2,0.118
133.0,210410.1,0.096
133.5,54233.7,0.121
134.0,61350.3,0.263
134.5,58053.0,0.265
135.0,52386.8,0.270
135.5,51517.5,0.229
136.0,38836.9,0.112
136.5,1035775.4,0.038
137.0,1045553.0,0.027
137.5,1044953.2,0.030
138.0,1045887.6,0.033
138.5,1038801.0,0.058
139.0,31759.7,0.192
139.5,18284.2,0.220
140.0,34903.8,0.369
140.5,34234.9,0.264
141.0,32048.7,0.300
141.5,31547.2,0.290
142.0,29765.4,0.085
142.5,457327.9,0.166
143.0,550976.0,0.143
143.5,713387.0,0.023
