t,variance,rhythm
10.0,1049.3,0.299
10.5,906.4,0.293
11.0,713.7,0.170
11.5,529.7,0.244
12.0,478.9,0.185
12.5,308.7,0.073
13.0,283.1,0.288
13.5,283.3,0.204
14.0,286.8,0.234
14.5,304.5,0.242
15.0,304.8,0.179
15.5,279.3,0.252
16.0,298.2,0.274
16.5,336.7,0.124
17.0,458.2,0.176
17.5,549.3,0.240
18.0,597.6,0.247
18.5,15919.2,0.272
19.0,16562.6,0.272
19.5,16507.6,0.270
20.0,16509.5,0.273
20.5,16490.7,0.274
21.0,4171.4,0.152
21.5,607.4,0.251
22.0,584.0,0.179
22.5,575.6,0.151
23.0,533.8,0.194
23.5,535.0,0.059
24.0,432.8,0.128
24.5,552.9,0.174
25.0,652.0,0.240
25.5,697.3,0.275
26.0,712.4,0.223
26.5,718.1,0.184
27.0,1131.2,0.085
27.5,982.1,0.135
28.0,990.1,0.141
28.5,1089.7,0.171
29.0,983.2,0.110
29.5,457.2,0.221
30.0,601.7,0.198
30.5,833.2,0.242
31.0,2387.9,0.171
31.5,2926.7,0.109
32.0,3605.0,0.092
32.5,4079.3,0.111
33.0,3874.4,0.120
33.5,3286.3,0.084
34.0,1885.6,0.233
34.5,1866.7,0.259
35.0,857.0,0.233
35.5,591.5,0.217
36.0,655.3,0.184
36.5,461.8,0.115
37.0,381.5,0.186
37.5,378.7,0.087
38.0,480.9,0.116
38.5,522.4,0.133
39.0,555.6,0.157
39.5,597.3,0.256
40.0,553.5,0.289
40.5,478.1,0.201
41.0,395.1,0.172
41.5,406.9,0.149
42.0,457.5,0.114
42.5,634.1,0.112
43.0,667.7,0.143
43.5,708.8,0.192
44.0,653.0,0.164
44.5,638.5,0.075
45.0,521.3,0.170
45.5,497.3,0.162
46.0,520.2,0.130
46.5,533.4,0.148
47.0,482.2,0.183
47.5,351.2,0.231
48.0,413.6,0.114
48.5,419.1,0.062
49.0,447.9,0.085
49.5,713.5,0.278
50.0,825.9,0.184
50.5,878.9,0.230
51.0,956.5,0.178
51.5,926.1,0.128
52.0,17177.2,0.014
52.5,17198.9,0.053
53.0,17059.4,0.057
53.5,17015.5,0.073
54.0,17010.8,0.075
54.5,482.0,0.208
55.0,401.6,0.118
55.5,580.9,0.192
56.0,1055.8,0.266
56.5,1144.9,0.226
57.0,1286.3,0.184
57.5,1246.6,0.185
58.0,1118.0,0.062
58.5,673.4,0.225
59.0,562.2,0.105
59.5,463.6,0.182
60.0,471.2,0.227
60.5,514.6,0.202
61.0,444.2,0.151
61.5,440.5,0.107
62.0,366.9,0.170
62.5,378.1,0.126
63.0,394.4,0.053
63.5,609.9,0.143
64.0,779.2,0.128
64.5,967.0,0.205
65.0,1043.1,0.139
65.5,995.9,0.168
66.0,769.8,0.185
66.5,623.1,0.105
67.0,407.4,0.210
67.5,399.1,0.163
68.0,503.3,0.110
68.5,498.3,0.134
69.0,2397.4,0.075
69.5,2589.6,0.193
70.0,2628.3,0.194
70.5,2556.9,0.205
71.0,4217.2,0.196
71.5,2688.6,0.193
